시간,심볼,유형,방향,가격,수량,수익(USDT),수익률(%),청산유형,레버리지,주문ID,체결ID,수수료(USDT)
2026-07-22 12:00:12,SOL/USDT:USDT,진입,sell,78.08,0.41,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3764364760720580608,1567796098,0.016006
2026-07-22 14:00:29,PI/USDT:USDT,진입,buy,0.09086,360.0,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3764606925170253824,174863056,0.016355
2026-07-22 14:39:37,OKB/USDT:USDT,청산,buy,81.74,39.0,0.2964,4.605502363349896,SL/TP,5,ID_3764685729532190720,103184206|103184207,1.59393
2026-07-22 15:02:42,PI/USDT:USDT,청산,sell,0.0895,360.0,-0.4896,-7.484041382346467,SL/TP,5,ID_3764732188461867008,174872396,0.01611
2026-07-22 15:10:45,SOL/USDT:USDT,청산,buy,77.14,0.41,0.3854,6.018696375976437,SL/TP,5,ID_3764748390185803777,1567863002,0.0158137
2026-07-22 17:30:05,DOGE/USDT:USDT,진입,buy,0.07241,0.45,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3765028904566235136,1307196720,0.016292
2026-07-22 19:00:06,ALLO/USDT:USDT,진입,sell,0.49641,2.0,0.0,0.0,SL/TP,5,ID_3765210145441685504,158034038,0.004964
2026-07-22 19:00:06,ALLO/USDT:USDT,진입,sell,0.49641,4.0,0.0,0.0,SL/TP,5,ID_3765210145441685504,158034039,0.009928
2026-07-22 19:00:07,ALLO/USDT:USDT,진입,short,0.4963,6.0,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3765210145441685504,,0.0014889
2026-07-22 20:05:15,ALLO/USDT:USDT,청산,buy,0.50388,6.0,-0.4482,-7.525690106790248,SL/TP,5,ID_3765341301025775616,158068442,0.00151164
2026-07-22 21:30:18,TRX/USDT:USDT,진입,sell,0.32979,0.09,0.0,0.0,SL/TP,5,ID_3765512541740965888,141774086,0.014841
2026-07-22 21:30:19,TRX/USDT:USDT,진입,short,0.32978,0.09,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3765512541740965888,,1.484e-05
2026-07-22 21:56:52,DOGE/USDT:USDT,청산,sell,0.07218,0.45,-0.1035,-1.5881784283938678,SL/TP,5,ID_3765566029518839810,1307233728,1.624e-05
2026-07-22 23:28:27,TRX/USDT:USDT,청산,buy,0.32824,0.09,0.1395,2.3500515495178607,SL/TP,5,ID_3765750394278354944,141776936,1.477e-05
2026-07-23 01:30:14,ETH/USDT:USDT,진입,sell,1939.39,0.16,0.0,0.0,SL/TP,5,ID_3765995592250007552,4115473421,0.015515
2026-07-23 01:30:15,ETH/USDT:USDT,진입,short,1939.39,0.16,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3765995592250007552,,0.1551512
2026-07-23 01:30:18,DOGE/USDT:USDT,진입,sell,0.07302,0.43,0.0,0.0,SL/TP,5,ID_3765995723280064512,1307301365,0.015699
2026-07-23 01:30:19,DOGE/USDT:USDT,진입,short,0.07302,0.43,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3765995723280064512,,1.57e-05
2026-07-23 01:33:55,DOGE/USDT:USDT,청산,buy,0.07331,0.43,-0.1246999999999999,-1.9857573267597912,SL/TP,5,ID_3766002986036207616,1307303281|1307303282|1307303283|1307303284|1307303285|1307303286|1307303287,1.576e-05
2026-07-23 01:34:18,DOGE/USDT:USDT,진입,sell,0.07324,0.42,0.0,0.0,SL/TP,5,ID_3766003767015612416,1307303832,0.01538
2026-07-23 01:34:19,DOGE/USDT:USDT,진입,short,0.07326,0.42,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3766003767015612416,,1.538e-05
2026-07-23 01:34:41,ETH/USDT:USDT,청산,buy,1952.99,0.16,-0.2176,-3.484874108922815,SL/TP,5,ID_3766004536150302721,4115513995,0.1562392
2026-07-23 01:34:47,ETH/USDT:USDT,진입,sell,1951.49,0.15,0.0,0.0,SL/TP,5,ID_3766004746033274880,4115519365,0.014636
2026-07-23 01:34:48,ETH/USDT:USDT,진입,short,1951.29,0.15,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3766004746033274880,,0.14634675
2026-07-23 03:30:14,SOL/USDT:USDT,진입,sell,77.69,0.41,0.0,0.0,SL/TP,5,ID_3766237192414797824,1568214440,0.015926
2026-07-23 03:30:16,SOL/USDT:USDT,진입,short,77.69,0.41,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3766237192414797824,,0.01592645
2026-07-23 03:32:47,ETH/USDT:USDT,청산,buy,1926.08,0.15,0.38115,6.511077287332995,SL/TP,5,ID_3766242318860918784,4115831301,0.144456
2026-07-23 03:32:47,DOGE/USDT:USDT,청산,buy,0.07272,0.42,0.2184,3.5490035490035488,SL/TP,5,ID_3766242304063414272,1307331536,1.527e-05
2026-07-23 09:30:27,SOL/USDT:USDT,청산,buy,78.39,0.41,-0.287,-4.505084309434935,SL/TP,5,ID_3766962398951350272,1568341918|1568341919,0.01606995
2026-07-23 11:00:13,OKB/USDT:USDT,청산,sell,82.19,38.0,0.0,0.0,SL/TP,5,ID_3767143095540359168,103221973,0.015616
2026-07-23 11:00:14,OKB/USDT:USDT,진입,short,82.2,38.0,0.0,0.0,SL/TP,5,ID_3767143095540359168,,1.5618
2026-07-23 14:00:19,FIL/USDT:USDT,진입,buy,0.7443,425.0,0.0,0.0,SL/TP,5,ID_3767505688054439936,547981144,0.015816
2026-07-23 14:00:20,FIL/USDT:USDT,진입,long,0.7442,425.0,0.0,0.0,SL/TP,5,ID_3767505688054439936,,0.1581425
2026-07-23 16:09:05,FIL/USDT:USDT,청산,sell,0.73715,425.0,-0.30387,-4.80309173246082,SL/TP,5,ID_3767764937749798912,547994109|547994110|547994111|547994112|547994113|547994114|547994115|547994116|547994117|547994118|547994119|547994120|547994121|547994122|547994123|547994124|547994125|547994126,0.15664438
2026-07-23 17:13:14,OKB/USDT:USDT,청산,buy,82.21,38.0,-0.0076,-0.1212121212121212,SL/TP,5,ID_3767894080839720960,103229200,1.56199
2026-07-23 19:00:13,TRX/USDT:USDT,진입,long,0.32715,0.09,0.0,0.0,SL/TP,5,ID_3768109455229558784,,1.472e-05
2026-07-23 19:36:32,TRX/USDT:USDT,청산,sell,0.32761,0.09,0.0405,0.6877579092159561,SL/TP,5,ID_3768182583087570944,141798833,1.474e-05
2026-07-23 21:30:09,OKB/USDT:USDT,진입,short,84.26,36.0,0.0,0.0,SL/TP,5,ID_3768411426360631296,,1.51668
2026-07-23 21:46:24,OKB/USDT:USDT,청산,buy,83.18,18.0,0.1926,6.349394730595774,SL/TP,5,ID_3768444066769903616,103289088,0.74862
2026-07-23 21:46:28,OKB/USDT:USDT,청산,buy,83.16,9.0,0.0981,6.468075005934014,SL/TP,5,ID_3768444190887747584,103289155,0.37422
2026-07-23 21:46:38,OKB/USDT:USDT,청산,buy,83.12,4.0,0.0452,6.705435556610491,SL/TP,5,ID_3768444537035268098,103289535,0.16624
2026-07-24 00:00:31,DOGE/USDT:USDT,진입,long,0.07014,0.45,0.0,0.0,SL/TP,5,ID_3768714026100432896,,1.578e-05
2026-07-24 00:00:33,XRP/USDT:USDT,진입,long,1.1083,0.28,0.0,0.0,SL/TP,5,ID_3768714112402432000,,0.00015516
2026-07-24 00:02:39,DOGE/USDT:USDT,청산,sell,0.06976,0.45,-0.171,-2.708867978329056,SL/TP,5,ID_3768718348079046656,1307639824,1.57e-05
2026-07-24 00:03:05,DOGE/USDT:USDT,진입,long,0.06954,0.44,0.0,0.0,SL/TP,5,ID_3768719183718621184,,1.53e-05
2026-07-24 00:10:07,DOGE/USDT:USDT,청산,sell,0.06922,0.44,-0.1496,-2.444636180615473,SL/TP,5,ID_3768733385665519617,1307661321,1.523e-05
2026-07-24 00:13:11,DOGE/USDT:USDT,진입,long,0.06882,0.44,0.0,0.0,SL/TP,5,ID_3768739527737188352,,1.514e-05
2026-07-24 00:23:57,DOGE/USDT:USDT,청산,sell,0.06944,0.44,0.264,4.3591979075850045,SL/TP,5,ID_3768761253325938690,1307706631,1.528e-05
2026-07-24 00:24:17,DOGE/USDT:USDT,진입,long,0.06938,0.45,0.0,0.0,SL/TP,5,ID_3768761881766895616,,1.561e-05
2026-07-24 04:49:00,DOGE/USDT:USDT,청산,sell,0.06906,0.45,-0.1485,-2.378206976073796,SL/TP,5,ID_3769294842044063744,1307779555,1.554e-05
2026-07-24 04:49:02,TRUMP/USDT:USDT,진입,long,1.611,191.0,0.0,0.0,SL/TP,5,ID_3769294879591473152,,0.1538505
2026-07-24 06:55:05,XRP/USDT:USDT,청산,sell,1.1089,0.28,0.0056,0.0902282775421817,SL/TP,5,ID_3769548703333851136,866529128,0.00015525
2026-07-24 09:07:18,TRUMP/USDT:USDT,청산,sell,1.587,191.0,-0.4584,-7.448789571694599,SL/TP,5,ID_3769814892018638848,432959430|432959431|432959432|432959433|432959434|432959435|432959436,0.1515585
2026-07-24 10:00:35,PUMP/USDT:USDT,진입,long,0.001838,16.0,0.0,0.0,SL/TP,5,ID_3769922190938447872,,1.47e-05
2026-07-24 11:56:38,PUMP/USDT:USDT,청산,sell,0.001818,16.0,-0.336,-5.712731229597388,SL/TP,5,ID_3770155784143347712,214105101,1.454e-05
2026-07-25 07:40:51,AVAX/USDT:USDT,청산,sell,6.268,2.4,0.18000000000000002,5.982769623484365,SL/TP,5,ID_3772539934716436480,440863735|440863736|440863737,0.0075216
2026-07-20 04:30:11,ETH/USDT:USDT,진입,buy,1859.66,0.16,0.0,0.0,SL/TP,5,ID_3757660561416888320,4105954533,0.014877
2026-07-23 01:34:41,ETH/USDT:USDT,청산,buy,1952.99,0.16,-0.2176,-3.5062571220847785,SL/TP,5,ID_3766004536150302720,4115513995,0.015624
2026-07-24 00:00:32,XRP/USDT:USDT,진입,buy,1.1087,0.28,0.0,0.0,SL/TP,5,ID_3768714112402432000,866448265,0.015522
2026-07-24 18:30:09,ETH/USDT:USDT,진입,sell,1882.02,0.15,0.0,0.0,SL/TP,5,ID_3770948048172064768,4119998714,0.014115
2026-07-24 18:30:15,XRP/USDT:USDT,진입,sell,1.1088,0.26,0.0,0.0,SL/TP,5,ID_3770948242653552640,866620850,0.014414
2026-07-24 22:06:13,XRP/USDT:USDT,청산,buy,1.0956,0.13,0.1716,5.952380952380953,SL/TP,5,ID_3771383058867920896,866654948,0.007121
2026-07-24 22:09:41,ETH/USDT:USDT,청산,buy,1859.73,0.07,0.15603,5.9218286734466155,SL/TP,5,ID_3771390031210455040,4120372436,0.006509
2026-07-24 23:30:35,AVAX/USDT:USDT,진입,buy,6.193,4.9,0.0,0.0,SL/TP,5,ID_3771552913483079680,440834887,0.015173
2026-07-25 07:40:51,AVAX/USDT:USDT,청산,sell,6.268,1.0,0.075,6.055223639593089,SL/TP,5,ID_3772539934716436480,440863735,0.003134
2026-07-25 07:40:51,AVAX/USDT:USDT,청산,sell,6.268,0.9,0.0675,6.05522363959309,SL/TP,5,ID_3772539934716436480,440863736,0.002821
2026-07-25 07:40:51,AVAX/USDT:USDT,청산,sell,6.268,0.5,0.0375,6.055223639593089,SL/TP,5,ID_3772539934716436480,440863737,0.001567
2026-07-24 22:06:13,XRP/USDT:USDT,청산,buy,1.0956,0.13,0.1716,6.024096385542169,SL/TP,5,ID_3771383058867920897,866654948,7.121e-05
2026-07-26 08:04:11,XRP/USDT:USDT,청산,buy,1.1,0.13,0.1144,3.9999999999999996,SL/TP,5,ID_3775486007068041216,866911904,7.15e-05
2026-07-26 08:04:13,ETH/USDT:USDT,청산,buy,1875.0,0.08,0.05616,1.872,SL/TP,5,ID_3775486096457048064,4122336323,0.075
2026-07-26 08:04:08,AVAX/USDT:USDT,청산,sell,6.787,2.5,1.485,43.76012965964343,SL/TP,5,ID_3775485923081297920,441107979|441107980,0.00848375
﻿시간,심볼,유형,방향,가격,수량,수익(USDT),수익률(%),T/S,레버리지,주문ID,체결ID
