8888 통합 관제 대시보드: http://localhost:8888
[DISCORD BOT] Token not found in discord_bot_token.txt or env. Listener waiting for token.
[DISCORD] 19:49:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:50:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:50:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:51:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 19:51:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:52:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:52:49 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 19:53:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:53:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:54:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:54:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:55:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:55:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:56:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:56:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:57:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:57:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:58:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:58:49 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 19:59:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:59:49 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 20:00:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:00:49 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 20:01:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 20:01:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:02:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:02:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:03:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:03:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:04:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 20:04:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:05:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:05:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:06:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:06:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:07:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:07:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:08:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:08:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:09:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:09:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:10:20 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:10:50 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:11:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:11:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:12:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
