timestamp,open,high,low,close,volume
2024-08-01 00:00:00,576.79,578.33,576.47,577.59,5752.11
2024-08-01 00:15:00,577.6,578.4,576.14,576.17,3745.3
2024-08-01 00:30:00,576.16,578.23,575.86,576.61,7531.38
2024-08-01 00:45:00,576.6,577.3,574.42,577.16,7500.59
2024-08-01 01:00:00,577.11,578.0,575.38,576.1,5539.62
2024-08-01 01:15:00,576.1,576.37,574.98,576.25,3442.03
2024-08-01 01:30:00,576.25,576.28,572.25,574.98,13129.45
2024-08-01 01:45:00,574.94,575.37,572.86,573.68,4551.87
2024-08-01 02:00:00,573.68,574.14,571.06,573.01,9911.63
2024-08-01 02:15:00,573.01,573.19,570.05,570.65,9667.68
2024-08-01 02:30:00,570.65,572.23,570.11,571.78,6657.68
2024-08-01 02:45:00,571.79,572.17,570.51,571.93,4456.33
2024-08-01 03:00:00,571.92,571.92,568.82,568.86,11431.44
2024-08-01 03:15:00,568.87,571.71,568.63,571.65,4642.19
2024-08-01 03:30:00,571.68,571.92,570.25,570.5,3138.81
2024-08-01 03:45:00,570.49,571.08,569.8,570.0,2741.76
2024-08-01 04:00:00,569.98,571.67,569.76,571.38,3415.52
2024-08-01 04:15:00,571.39,571.56,567.67,568.5,7799.65
2024-08-01 04:30:00,568.49,568.67,565.55,565.82,15419.45
2024-08-01 04:45:00,565.9,566.31,563.14,564.26,17524.13
2024-08-01 05:00:00,564.27,567.54,562.84,567.5,13424.49
2024-08-01 05:15:00,567.49,569.88,567.38,569.7,10226.87
2024-08-01 05:30:00,569.7,569.99,569.16,569.89,4309.85
2024-08-01 05:45:00,569.88,570.95,569.85,570.94,4114.05
2024-08-01 06:00:00,570.95,570.99,569.27,569.44,4387.79
2024-08-01 06:15:00,569.43,569.78,568.88,569.09,3492.35
2024-08-01 06:30:00,569.09,570.54,568.34,570.34,4536.68
2024-08-01 06:45:00,570.34,570.35,568.34,568.39,2598.44
2024-08-01 07:00:00,568.39,570.55,568.24,570.47,2583.64
2024-08-01 07:15:00,570.46,570.79,569.52,569.53,1718.08
2024-08-01 07:30:00,569.53,570.64,569.05,570.18,2256.82
2024-08-01 07:45:00,570.17,570.63,569.11,569.15,2706.61
2024-08-01 08:00:00,569.15,570.34,569.01,569.7,3179.04
2024-08-01 08:15:00,569.69,570.66,569.47,570.54,2985.27
2024-08-01 08:30:00,570.54,570.84,570.14,570.26,2609.32
2024-08-01 08:45:00,570.25,570.55,569.5,570.41,1892.72
2024-08-01 09:00:00,570.41,572.0,570.04,571.87,3177.11
2024-08-01 09:15:00,571.87,572.44,571.42,572.32,3577.54
2024-08-01 09:30:00,572.32,572.44,571.07,571.07,2293.94
2024-08-01 09:45:00,571.07,571.44,570.61,570.65,1884.9
2024-08-01 10:00:00,570.64,571.16,569.79,570.7,2478.28
2024-08-01 10:15:00,570.71,572.13,570.07,572.09,2444.49
2024-08-01 10:30:00,572.08,572.1,571.05,571.05,1449.99
2024-08-01 10:45:00,571.05,572.06,571.0,571.97,1367.39
2024-08-01 11:00:00,571.96,572.25,571.14,571.29,4306.52
2024-08-01 11:15:00,571.28,573.11,570.71,572.81,3820.86
2024-08-01 11:30:00,572.81,573.54,572.19,572.87,3818.2
2024-08-01 11:45:00,572.88,572.88,571.77,572.78,1997.97
2024-08-01 12:00:00,572.78,573.9,572.22,573.9,3645.35
2024-08-01 12:15:00,573.89,574.5,572.83,573.15,5778.88
2024-08-01 12:30:00,573.16,574.59,573.1,574.29,4717.0
2024-08-01 12:45:00,574.28,575.12,573.8,575.07,5494.78
2024-08-01 13:00:00,575.07,575.39,573.07,573.88,5607.1
2024-08-01 13:15:00,573.88,573.92,572.38,572.7,4217.52
2024-08-01 13:30:00,572.7,573.39,571.34,573.3,4098.39
2024-08-01 13:45:00,573.33,574.53,572.87,573.79,2751.17
2024-08-01 14:00:00,573.79,573.98,572.02,573.49,6793.58
2024-08-01 14:15:00,573.49,573.49,570.52,570.75,7857.6
2024-08-01 14:30:00,570.75,572.26,569.73,570.58,10062.74
